job_title,company_name,job_location,salary_range,job_posted,description,Ratings
"Senior Principal, Product Management",BNY Mellon,"Hybrid remote in Jersey City, NJ 07302","$82,650 - $115,000 ","
 30+ days ago","Demonstrates in-depth and comprehensive knowledge of teams capabilities and an understanding of all products, the marketplace and client needs to drive product…",3.5
Real Time Payments Product Management - Payments - Associate,"JPMorgan Chase Bank, N.A.","Jersey City, NJ","$103,000 - $172,000 ","
 13 days ago","3+ years of relevant experience in banking product management or development, BA or BS preferred.
Execute the RTP program delivery strategy partnering with tech…",3.8
Crypto Trading Product Owner,Fidelity Investments,"Jersey City, NJ 07311 
(Downtown area)","$133,000 - $195,000 ","
 9 days ago",You partner to reconcile cross squad dependencies while taking full ownership of the product backlog that enables effective delivery.,4.0
Wholesale Credit Risk - Product Owner - Vice President,"JPMorgan Chase Bank, N.A.","Jersey City, NJ","$139,700 - $198,000 ","
 12 days ago","5+ years of product owner experience, preferably in financial institutions.
Possesses a solid understanding of financial products, corporate finance, financial…",3.8
"Director, Product Management – Payment Solutions",Royal Bank of Canada,"Jersey City, NJ 07302 
(Downtown area)","$47,500 - $72,500 ","
 30+ days ago","Extensive product management experience including strategic planning, product development and positioning experience.",4.0
"Front-end Payments-Product Manager, Omnichannel - Payments- Vice President","JPMorgan Chase Bank, N.A.","Jersey City, NJ","$114,000 - $185,000 ","
 26 days ago","Min. of 5 + yrs. experience in product management and in-store payments.
Exceptional people skills and the ability to develop strong working relationships at…",3.8
Junior Associate - Product Management - Stable Value,New York Life Insurance Co,"Hybrid remote in Jersey City, NJ",0,"
 18 days ago","In addition to product management proficiency, the successful candidate will gain familiarity with other aspects of stable value products such as marketing,…",3.7
Strategy Product Manager - Payments - Vice President,"JPMorgan Chase Bank, N.A.","Jersey City, NJ",0,"
 28 days ago","5+ years of total professional experience with 3+ years directly in product management.
You love using mix of qualitative and quantitate data to navigate…",3.8
Tax Operations Product Owner - Wealth Management Operations,Morgan Stanley,"Hybrid remote in Jersey City, NJ",0,"
 30+ days ago","Generate senior management reporting and status updates and participate in stakeholder meetings.
3+ years of experience in program/ project management, process…",3.8
"Wealth Management, Product Development - Analyst","JPMorgan Chase Bank, N.A.","Jersey City, NJ",0,"
 17 days ago","Escalation point for PBA, JPMA and CWM business management teams regarding investment product matters.
Lead product consolidation efforts streamlining the…",3.8
"Senior Manager I, Product Management (Tech) - Walmart Fulfillment Services, Seller Support Experience (Remote)",Walmart,"Remote in Brooklyn, NY 11222","$144,000 - $216,000 ","
 18 days ago","Option 2: 9 years' experience in product management or related area.
Work with cross-functional teams to translate the product strategy into a product roadmap…",3.4
"Senior Product Manager, Search Ranking",Etsy,"Brooklyn, NY 11201","$149,000 - $193,000 ","
 3 days ago",Lead product management for one of Etsy’s highest performing product teams and build roadmaps for Search Ranking across Etsy’s mobile and web properties.,4.3
"Manager, Global Product Marketing & Operations - Le Labo",The Estée Lauder Companies,"Brooklyn, NY 11249 
(Chelsea area)","$81,000 - $133,000 ","
 30+ days ago","Address product questions/issues from markets on distribution, sample timing, product codes, etc.
Highly organized with strong time management and able to…",4.0
Senior Product Marketing Manager,Etsy,"Remote in Brooklyn, NY","$135,000 - $160,000 ","
 5 days ago","Exemplary project management and organizational skills.
Extensive experience bringing complex products and features to market.",4.3
"Group Product Manager, Risk","JPMorgan Chase Bank, N.A.","Brooklyn, NY 11201","$194,000 - $252,000 ","
 30+ days ago","5+ years of product management experience, ideally 2+ years of experience managing product managers.
You’re also responsible for establishing the overarching…",3.8
eCommerce Payments Automation Product Manager,"JPMorgan Chase Bank, N.A.","Brooklyn, NY","$95,000 - $185,000 ","
 16 days ago","Owns ongoing product oversight and maintenance and accountable for meeting product objectives (e.g., P&L).
This product will enable clients of J.P.",3.8
Finance and Business Management: Stress Testing/Credit Costs Product Control - Associate,Metropolitan Transportation Authority,"Brooklyn, NY","$81,000 - $105,000 ","
 18 days ago","BA / BS degree required - 3+ years of experience in finance area, particularly a plus to have knowledge of banking-book products and capital.",4.0
Manager Product Containment Systems (Buses),"JPMorgan Chase Bank, N.A.","Brooklyn, NY 11201","From $105,472 ","
 25 days ago","Responsible for scheduling all agency visits and report back to senior management on findings.
This position is responsible for maintaining and monitoring all…",3.8
Product Marketing Manager,"JPMorgan Chase Bank, N.A.","Brooklyn, NY","$109,250 - $190,000 ","
 30+ days ago","Previous experience with product marketing and GTM strategies.
Establish a drum-beat of product and feature launches.
Create content for the website.",3.8
"Product Manager, Sematext Cloud","JPMorgan Chase Bank, N.A.","Brooklyn, NY","$114,000 - $200,000 ","
 30+ days ago","Proven track record in product management; experience with B2B SaaS product management is a plus.
Plan and own the product roadmap.",3.8
Corporate & Investment Bank- Product/Service Control Manager - Vice President,"JPMorgan Chase Bank, N.A.","Brooklyn, NY","$114,000 - $185,000 ","
 26 days ago",Coordination of end to end process for OCC 12 CFR7 and Innovation eligible product notifications and related product notifications to toher regulators.,3.8
Custody Tax Product Manager - Vice President,NANOTRONICS IMAGING INC,"Brooklyn, NY","$133,000 - $180,000 ","
 4 days ago",The Custody Tax Product management role forms part of the product management function focusing on the management and control of the Global Custody business.,4.0
Client Onboarding Automation Product Manager,0,"Brooklyn, NY","$87,000 - $138,000 ","
 19 days ago","Owns ongoing product oversight and maintenance and accountable for meeting product objectives (e.g., P&L).
Monitors, oversees and influences product development…",0
"Product Design Manager (Card), VP",0,"Brooklyn, NY",0,"
 3 days ago","Lead the delivery of successful shipped products.
Lead the creation of new product and business strategy at the intersection of user needs and business goals.",0
Product Marketing Manager,0,"Brooklyn, NY 11205 
(Fort Green area)",0,"
 30+ days ago","Ensure successful and integrated product launch for products, new product features, and product solutions.
Gain product feedback and better understand of market…",0
"Manager, Product Management (Hybrid)",Prudential,"Newark, NJ 07102 
(Central Business District area)","$111,400 - $165,800 ","
 30+ days ago","Owning the lifecycle management of in-force products.
Reporting product performance to Product Lead and understanding product profitability.",3.8
